NAME,OVR,POT
Miguel Calero,71,75
Paul Nicolás Aguilar,69,77
Marco Iván Pérez,68,75
Javier Muñoz Mustafá,73,76
Carlos Gerardo Rodríguez,68,77
Christian Giménez,74,79
José Francisco Torres,72,84
Jaime Correa,73,78
Damián Manso,67,71
Damián Álvarez,74,78
Juan Carlos Cacho,71,77
Gabriel Caballero,71,75
Gregorio Torres,66,71
Luis Arturo Montes,66,73
Rodolfo Cota,64,74
Edgar Benítez,70,76
Braulio Godínez,57,63
Ulises Mendívil,70,73
Carlos Fernando Velázquez,56,69
Leobardo López,73,75
Raúl Ascención Martínez,54,68
Edy German Brambila,60,74
Pedro Alberto Cortez,60,70
Juan Carlos Rojas,64,75
Víctor Omar Mañón,54,75
Juan Carlos Pineda,50,69
Eder Cruz,52,68
Marcelino Garnica,56,67
