NAME,OVR,POT
Stefano Sorrentino,75,75
Ezequiel Muñoz,72,78
Claudio Terzi,71,71
Sinisa Anđelković,67,69
Francesco Bolzoni,68,76
Edgar Barreto,72,72
Eros Pisano,70,75
Enzo Maresca,69,69
Fabio Daprelà,66,78
Paulo Dybala,70,84
Abel Hernández,72,81
Samir Ujkani,70,76
Davide Di Gennaro,70,75
Michel Morganella,68,73
Valerio Verre,65,76
Milan Milanović,65,77
Kyle Lafferty,71,74
Alen Stevanovic,70,80
Andrea Belotti,66,76
Andrea Fulignati,50,72
Gennaro Troianiello,69,69
Granddi Ngoyi,69,74
Armin Bačinovič,68,74
Roberto Vitiello,67,67
Franco Vázquez,67,74
Salvatore Aronica,67,67
Achraf Lazaar,63,76
Cephas Malele,59,74
