NAME,OVR,POT
Vincent Demarconnay,70,70
Samir Chergui,64,73
Ousmane Camara,65,79
Ousmane Kanté,69,69
Florent Hanin,69,69
Moustapha Name,70,73
Jonathan Iglesias,69,69
Morgan Guilavogui,68,74
Alimami GoryL,67,70
Julien Lopez,68,68
Khalid Boutaïb,68,68
Cyril Mandouki,69,69
Mahamé SibyL,66,72
Axel Bamba,68,77
Maxime Bernauer,63,70
Ivan Filipović,66,70
Warren Caddy,66,71
Check Oumar Diakité,67,79
Renteria Demoncy,65,68
Migouel Alfarela,63,70
Thibault Campanini,62,67
Jaouen Hadjam,63,78
Patrick Koffi,59,69
Otis Ndiaye,63,69
Lamine GueyeL,71,75
