NAME,OVR,POT
Sebastián Bertoli,73,73
Rodrigo Arciero,62,67
Walter Andrade,68,68
Renzo Vera,67,67
Lucas Márquez,64,64
Martín Rivero,66,67
Damián Lemos,71,71
Marcelo Guzmán,65,65
Blas Cáceres,65,65
Sebastian Ribas,73,73
Adrián Balboa,66,73
Gastón Gil RomeroL,69,73
Matías Garrido,67,67
Bruno Urribarri,70,70
Luca SosaL,64,70
Federico Costa,60,61
Rodrigo MigoneL,62,74
Abel Peralta,64,64
Agustín Sandona,65,69
Lautaro Geminiani,67,68
Julián MarchioniL,63,68
Alberto Contrera,68,71
Matías Quiroga,64,64
Juan Cruz Franzoni,60,61
Agustín Guiffrey,59,70
Darwin González,68,73
Iván Furios,66,66
Marcos Minetti,63,63
