NAME,OVR,POT
Liam Reddy,63,63
Ivan Franjić,67,67
Gregory Wüthrich,68,70
Tomislav Mrčela,67,67
Alex Grant,67,67
James Meredith,68,68
Juande,66,66
Neil Kilkenny,68,68
Joel Chianese,64,64
Bruno Fornaroli,74,74
Diego Castro,76,76
Vince Lia,61,61
Jake Brimmer,58,65
Osama Malik,62,62
Jacob Tratt,60,61
Tando Velaphi,60,60
Nicholas D'Agostino,63,71
Kim Soo Beom,64,64
Dino Djulbic,61,61
Christopher Ikonomidis,72,74
Dane Ingham,57,67
Tarek Elrich,61,61
Kristian Popovic,56,69
Carlo Armiento,55,66
Jackson Lee,50,68
