NAME,OVR,POT
Jakub Szmatuła,66,66
Martin Konczkowski,66,71
Jakub CzerwińskiL,67,68
Aleksandar Sedlar,66,69
Mikkel KirkeskovL,68,71
Tomasz JodłowiecL,70,70
Tom Hateley,68,68
Gerard Badía,69,69
Saša Živec,68,68
Konstantin Vassiljev,71,71
Mateusz SzczepaniakL,66,67
Joel Valencia,65,72
Patryk Dziczek,62,71
Uroš Korun,63,63
Dario Rugašević,63,64
František Plach,58,63
Karol Angielski,65,71
Denis Gojko,60,72
Mateusz Mak,66,67
Aleksander Jagiełło,62,68
Martin Bukata,66,70
Michal Papadopulos,65,65
Krzysztof Kurek,50,66
Marcin Pietrowski,65,65
Łukasz Krakowczyk,53,69
Jakub Freitag,52,59
Karol Dybowski,56,65
