NAME,OVR,POT
Jakub Słowik,67,71
Adam Frączczak,68,68
Jakub Czerwiński,67,71
Jarosław Fojut,68,68
Ricardo Nunes,65,65
Rafał Murawski,70,70
Mateusz Matras,68,70
Takafumi Akahoshi,68,68
Ádám Gyurcsó,69,73
Vladimir Dvalishvili,67,67
Łukasz Zwoliński,69,76
Miłosz Przybecki,62,66
Jakub Piotrowski,53,68
Sebastian Rudol,64,71
Sebastian Murawski,58,67
Dawid Kudła,63,69
Marcin Listkowski,60,72
Mateusz Lewandowski,64,69
Hubert Matynia,62,70
Robert Obst,60,72
Michał Walski,60,70
Dawid Kort,56,68
Adrian Henger,53,67
Bartosz Piotrowski,51,64
Błażej Chouwer,52,64
