NAME,OVR,POT
Shūichi Gonda,68,68
Koki Anzai,70,75
Jadson,72,74
Lucas Possignolo,69,72
Henrique,67,71
Pedro Sá,73,77
Bruno CostaL,70,77
Dener,70,70
Bruno Tabata,75,83
Jackson Martínez,73,73
Aylton Boa Morte,69,70
Lucas Fernandes,73,82
Rômulo,65,70
Emmanuel Hackman,67,71
Fernando Medeiros,65,71
Ricardo Ferreira,69,69
Ricardo Vaz Tê,72,72
Marlos Moreno,68,74
Willyan,69,74
Júnior Tavares,68,74
Rodrigo Freitas,64,74
Jorge Vilela,63,68
Beto,63,72
Mohanad Ali,63,80
Samuel Portugal,63,67
Luquinhas,64,72
Anderson Oliveira,62,73
Paulo Estrela,60,70
Evans Mensah,63,69
