NAME,OVR,POT
Trevor Carson,61,62
Adam Webster,58,66
Ben Chorley,63,63
Jack Whatmough,56,63
Nicky Shorey,66,66
Simon Ferry,61,63
Danny Hollands,63,63
Jed Wallace,64,77
Ricky Holmes,62,64
Wes Fogden,64,67
Ryan Taylor,64,67
Phil Smith,58,58
Bondz N'Gala,59,59
Joe Devera,57,58
Johannes Ertl,59,59
Patrick Agyemang,60,60
Michael Drennan,60,71
Romain Padovani,58,65
Andy Barcham,65,66
Jake Jervis,64,74
Marcos Painter,61,61
Danny East,57,66
Therry Racon,60,60
Sonny Bradley,60,65
Yassin Moutaouakil,58,58
Tom Craddock,58,58
Ryan Bird,57,60
Daniel Alfei,56,63
