NAME,OVR,POT
Nicolás Vikonis,74,74
Óscar Rojas,67,67
Hugo RodríguezL,69,71
Alonso ZamoraL,66,69
Erik PimentelL,66,66
Brayan Angulo,70,70
Alejandro Chumacero,70,71
Francisco Acuña,69,69
Daniel GuerreroL,72,72
Omar Fernández,67,70
Lucas Cavallini,69,74
Jorge EnríquezL,66,69
Christian TabóL,66,72
Pablo González,63,66
Gerardo Venegas,67,67
Moisés MuñozL,71,71
Abraham Carreño,67,67
Alonso EscobozaL,68,71
Diego CruzL,58,66
Francisco Torres,67,67
Anderson Santamaría,64,67
Matheus Ribeiro,62,67
Fernando Ruíz,61,69
Iván Rodríguez,58,64
Patricio Araujo,68,68
Carlos Gutiérrez,65,65
Pedro Goulart,59,70
Tirso Trueba,56,64
Oscar Villanueva,55,71
