NAME,OVR,POT
César RigamontiL,69,69
Matías Pérez AcuñaL,67,75
Diego Colotto,72,72
Matías Sarulyte,69,69
Matías Orihuela,66,70
Gabriel RamírezL,66,73
Adrián Calello,63,63
Maximiliano GonzálezL,61,68
Hernán Da CampoL,65,72
Federico AndradaL,69,76
Rodrigo ContrerasL,62,74
Matías Escobar,65,65
Franco NegriL,62,69
Enzo Acosta,61,66
Gastón Bottino,65,65
Horacio Ramírez,61,61
Nicolás BenegasL,66,77
Ismael Benegas,65,65
Marcos Ledesma,60,66
Cristian Trombetta,65,65
Facundo Coria,67,67
Ignacio BailoneL,62,69
Sergio Escudero,64,64
Brandon Obregón,57,65
Tomás López,63,74
Jonatan Torres,58,65
Francisco Ilarregui,58,68
José Valdez,60,74
Gastón Pinedo,62,74
Diego Torres,58,58
