NAME,OVR,POT
Dani Giménez,72,72
Mujaid,69,83
Abdoulaye BaL,70,71
MonteroL,67,81
Bóveda,70,70
NolaskoainL,70,81
Gaku Shibasaki,70,70
MollejoL,70,83
Aketxe,71,73
Emre Çolak,72,72
Sabin Merino,71,71
Alex Bergantiños,71,71
Keko,70,70
Vicente Gómez,69,69
Salva Ruíz,68,75
Aleksandar JovanovićL,69,73
Claudio Beauvue,71,71
Mamadou KonéL,71,71
David Simón,68,68
Borja Valle,71,71
Uche AgboL,68,73
Michele Somma,70,77
Christian Santos,68,68
Luis Ruiz,66,67
Hugo Vallejo,66,80
Gandoy,65,76
David Sánchez,64,75
Valín,63,76
Tomás Bourdal,61,72
Álex Cobo,65,73
