NAME,OVR,POT
Vedran Runje,73,79
Fabien Laurenti,65,73
Romain Sartre,67,71
Eric Chelle,69,76
Marco Ramos,63,69
Yohan Demont,68,78
Dejan Milovanović,63,80
Sidi Yaya Keita,66,72
Geoffrey Doumeng,67,68
Sébastien Roudet,68,76
Toifilou Maoulida,72,78
Grégory Vignal,65,72
Razak Boukari,65,76
Arnaud Brocard,55,61
Kévin Monnet-Paquet,64,84
Adil Hermach,59,65
Aruna Dindane,77,83
Alaeddine Yahia,67,74
Julien Sablé,72,80
Nenad Kovačević,75,82
Issam Jemââ,66,74
Kévin Goeman,57,76
Nolan Roux,54,65
Steven Joseph-Monrose,50,72
Samuel Camille,51,64
Jérémy Blanc,48,63
Dalibor Veselinović,54,71
