NAME,OVR,POT
Stéphane Cassard,76,82
Zoltán Szélesi,68,73
Pierre Ducrocq,65,71
Grégory Paisley,70,74
Quentin Othon,63,78
Harlington Shereni,68,70
Renaud Cohade,72,84
James Fanchone,68,78
Chahir Belghazouani,65,78
Emil Gargorov,69,74
Marquinhos,65,66
Steven Pelé,65,66
Guillaume Lacour,67,74
Kandia Traore,72,78
Régis Gurtner,59,79
Simon Zenke,60,74
David Klein,58,67
Rudy Marc Eric Carlier,64,77
Ali Samir Yachir,58,66
Yann Schneider,55,60
Victor Correia,48,65
Ahmed Abou Moslem Farag,61,74
Ali Mathlouthi,53,65
Anthony Weber,57,64
Mamadou Bah,62,74
Loïc Damour,60,88
Manfred Ekwé-Ebélé,53,68
David Ledy,56,61
Jean-Alain Fanchone,59,74
