NAME,OVR,POT
Pau López,71,78
Javi López,76,76
Álvaro,76,78
Óscar Duarte,73,74
Rubén Duarte,70,80
Papa Kouli Diop,77,77
Hernán Pérez,74,75
Victor Sánchez,76,76
Abraham,73,73
Marco Asensio,75,87
Felipe Caicedo,78,78
José Cañas,77,77
Montañés,74,74
Víctor Álvarez,73,79
Enzo Roco,75,81
Giedrius Arlauskis,70,70
Gerard Moreno,75,81
Salva Sevilla,75,75
Michaël Ciani,76,76
Arbilla,72,72
Fuentes,71,73
Burgui,70,79
Mamadou Sylla,68,77
Rober Correa,67,72
Joan Jordán,66,73
Lucas Porcar,66,68
Robert Simón,62,70
Álex Serrano,61,69
Galas,61,68
Rufo,58,63
Lluis López,54,66
Mickaël Latour,58,70
Andrés Prieto,61,71
