NAME,OVR,POT
Manolo Reina,73,73
Joan Sastre,72,79
Martin Valjent,74,79
Raillo,72,73
Brian Oliván,70,71
Salva Sevilla,75,75
Ruiz de Galarreta,72,73
Antonio Sánchez,69,76
Amath NdiayeL,76,82
Dani Rodríguez,75,75
Abdón Prats,70,70
Aleix Febas,73,78
Iddrisu Baba,73,80
Braian Cufré,74,81
Franco Russo,70,74
Koke VegasL,70,76
Marc CardonaL,74,79
MuriloL,74,75
Lago Júnior,75,75
Aleksandar Sedlar,71,72
MollejoL,70,82
Jordi Mboula,70,80
Álvaro GiménezL,70,70
Enzo Lombardo,70,76
Aleksandar Trajkovski,69,69
Fran Gámez,69,69
Miquel Parera,67,73
Álex López,65,66
Iván Bravo,65,77
Fran González,64,75
