NAME,OVR,POT
Daniël Zitka,75,87
Michał Żewłakow,73,80
Vincent Kompany,75,86
Lamine Traoré,73,84
Olivier Deschacht,72,85
Besnik Hasi,71,86
Walter Baseggio,79,94
Mbo Mpenza,72,78
Christian Wilhelmsson,75,85
Aruna,80,95
Nenad Jestrovic,77,87
Pär Zetterberg,74,84
Tristan Peersman,75,85
Junior,72,93
Anthony Vanden Borre,75,91
Oleg Iachtchouk,75,80
Fabrice Ehret,70,80
Yves Vanderhaeghe,72,81
Hannu Tihinen,71,83
Martin Kolar,74,86
Mark Deman,60,70
Goran Lovre,71,78
Sergio Hellings,72,77
Glen De Boeck,77,84
Roland Lamah,57,71
