NAME,OVR,POT
Gabriel Arias,78,78
Iván Pillud,69,69
Leonardo Sigali,77,77
Emiliano Insua,73,73
Gonzalo Piovi,74,74
Aníbal Moreno,75,82
Leonel Miranda,74,74
Maxi Moralez,77,77
Matías Rojas,73,73
Maximiliano RomeroL,70,76
Johan Carbonero,72,81
Jonatan Gómez,72,72
Juan Ignacio Nardoni,69,80
Facundo Mura,72,77
Jonathan GalvánL,70,70
Matias Tagliamonte,67,74
Paolo Guerrero,75,75
Gabriel Hauche,74,74
Emiliano Vecchio,75,75
Edwin Cardona,73,73
Nicolás Reniero,71,71
Gabriel Rojas,71,73
Héctor Fertoli,70,70
Óscar Opazo,70,70
Nicolás Oroz,69,69
Juan José Cáceres,66,74
Maico Alejandro Quiroz,63,73
Roman Fernández,60,74
