NAME,OVR,POT
Toño,76,76
Álvaro González,72,78
Torrejón,73,74
BernardoL,70,74
Cisma,72,72
Papa Kouli Diop,74,74
Colsa,73,73
Kennedy,72,72
Munitis,74,74
Adrián González,71,74
Christian StuaniL,71,76
Mario,66,69
Jose Picón,61,72
Marcos Gullón,70,76
Arana,72,74
Lautaro Acosta,69,73
Christian Fernandez,70,73
Khouma BabacarL,70,83
Jairo,67,73
Francis,70,70
Edu Bedia,66,72
Osmar,64,68
Ariel Nahuelpán,68,74
Mamadou Kone,62,71
Dani Sotres,57,71
Julián Luque,65,74
Borja García,57,62
Gonzalo,60,65
Tato,57,63
Maxi Sepúlveda,62,70
Borja Docal,63,72
Roberto Cano,54,63
Javi Martínez,56,63
