NAME,OVR,POT
Rubén,72,75
Tito,74,74
Jordi Amat,74,77
Jordi Figueras,72,76
Casado,74,76
Alhassane Bangoura,77,80
Javi Fuego,78,78
Trashorras,76,76
Piti,75,75
Alejandro Domínguez,75,75
Leo Baptistão,76,80
Cobeño,70,71
Arbilla,68,72
Gálvez,72,76
Adrián González,70,74
Franco Vázquez,71,76
Jose Carlos,74,78
Andrija Delibašić,72,72
Nacho,71,74
Labaka,68,68
Tamudo,70,70
Rodri,71,76
Alberto Perea,64,71
Dani Giménez,68,73
Rubén Ramiro,58,68
Alcañiz,63,72
Pape Maly Diamanka,66,76
Nono,59,66
Jorge Sáez,59,68
Rober,59,66
David Cuerva,57,65
Manquillo,55,65
Stephen Owusu,53,65
