NAME,OVR,POT
Rui Silva,80,82
Youssouf Sabaly,77,77
Germán Pezzella,77,77
Edgar,78,82
Abner,73,82
Guido Rodríguez,82,83
William Carvalho,81,81
Canales,84,84
Juanmi,79,79
Nabil Fekir,85,85
Borja Iglesias,82,82
Andrés Guardado,77,77
Aitor Ruibal,75,76
Luiz Henrique,75,85
Luiz Felipe,79,83
Claudio Bravo,79,79
Willian José,78,78
Joaquín,79,79
Víctor Ruiz,76,76
Rodri,75,84
Montoya,73,73
Miranda,76,83
Ayoze PérezL,76,76
Paul Akouokou,71,78
Dani Martín,69,76
Juan Cruz,70,80
Jordi EscobarL,65,75
José Lara,63,73
Félix,64,80
Kevin CarlosL,63,76
Marchena,62,77
Manu Morillo,62,79
Fran Delgado,61,73
