NAME,OVR,POT
Quentin Braat,67,72
Lucas Ahijado,67,67
Rodri Tarín,68,73
Dani Calvo,71,73
Abel Bretones,67,77
Viti Rozada,66,68
Jimmy,66,69
Luismi,69,69
Hugo Rama,67,70
Borja Bastón,73,73
Sergi Enrich,72,72
Montoro,75,75
David Costas,72,74
Pomares,69,69
Juanfran,67,67
Tomeu Nadal Mesquida,67,67
Manu VallejoL,73,76
Borja Sánchez,72,73
Camarasa,71,71
Leonardo Sequeira,70,70
Koba Leïn KoindrediL,68,81
Javi Mier,66,73
Raúl MoroL,66,82
Oier Luengo,65,71
Marcelo Flores,64,80
Alberto Hórreo Taveras,63,73
Mángel,63,73
Álex Cardero,63,76
Mario Sesé,62,74
Yayo,62,75
