NAME,OVR,POT
Gerónimo Rulli,79,85
Aritz Elustondo,72,80
Diego Reyes,75,81
Iñigo Martínez,80,84
De la Bella,77,77
Illarramendi,79,81
Granero,77,77
Rubén Pardo,77,83
Xabi Prieto,77,77
Carlos Vela,81,82
Canales,79,83
Markel Bergara,76,76
Zurutuza,75,75
Carlos Martínez,78,78
Mikel Gonzalez,76,76
Oier,70,71
Jonathas,79,80
Oyarzabal,73,85
Agirretxe,77,77
Bruma,76,85
Yuri,74,76
Zaldúa,72,78
Héctor,69,73
Jon Bautista,60,72
Raúl Navas,74,74
Eneko Capilla,63,74
Sanz,61,68
Zubeldia,59,73
Odriozola,54,64
Muguruza,59,69
Merquelanz,57,66
Bardaji,61,67
