NAME,OVR,POT
Iván Cuéllar,75,75
Lillo,72,72
Jean-Sylvain Babin,74,74
Jorge Meré,78,84
Canella,69,69
VesgaL,70,77
Carmona,72,72
Sergio Álvarez,77,82
Moi Gómez,74,80
BurguiL,75,81
Duje ČopL,75,76
Nacho Cases,73,73
Fernando Amorebieta,75,75
DouglasL,72,73
Elderson EchiéjiléL,71,71
Diego Mariño,74,77
Lacina TraoréL,75,76
Castro,72,78
Lora,73,73
Xavi Torres,71,71
Isma López,71,72
Borja VigueraL,70,70
Akram AfifL,69,77
Daniel Ndi,69,76
Juan Rodríguez,63,70
Pablo Fernández,63,72
Cris Salvador,61,67
Víctor Ruiz,61,67
Cifré,61,66
Pedro Díaz,61,71
Rubén Sánchez,61,67
Javi Benítez,62,71
Óscar Whalley,64,69
