NAME,OVR,POT
Jordi Masip,73,75
Antoñito,70,70
Kiko Olivas,73,73
Deivid,73,74
Javi Moyano,69,69
Luismi,72,77
Borja Fernández,70,70
HervíasL,72,75
Óscar Plano,73,73
Míchel,73,73
Mata,75,75
OntiverosL,72,84
Anuar,70,77
Nacho,70,70
Calero,69,76
Isaac Becerra,74,75
Chris Ramos,66,76
Toni Villa,68,77
Cotán,71,80
Giannis Gianniotas,71,73
Borja HerreraL,69,74
Lukas Rotpuller,67,68
Toni MartínezL,64,79
Moi Delgado,64,71
Miguel,63,77
Mayoral,62,77
Nouh Al MousaL,62,64
Antonio Domínguez,62,65
Javi Pérez,60,70
Dennis Díaz,60,65
