NAME,OVR,POT
Ivan Pelizzoli,74,80
Maurizio Lanzaro,73,73
Gaetano De Rosa,80,81
Salvatore Aronica,67,70
Daniele Amerini,63,67
Davide Biondini,70,74
Giacomo Tedesco,73,74
Giandomenico Mesto,75,79
Francesco Modesto,66,68
Nicola Amoruso,81,83
Rolando Bianchi,70,72
Ricardo Esteves,62,68
Julio Cesar Leon,71,73
Filippo Carobbio,63,62
Alessandro Lucarelli,74,78
Antonio Giosa,67,77
Andrea Campagnolo,61,66
Juri Cannarsa,67,69
Giovanni Morabito,55,59
Gaetano Ungaro,56,64
Antonino Barillà,46,54
Fabio Ceravolo,58,72
Simone Missiroli,66,68
