NAME,OVR,POT
Franco Armani,80,80
Gonzalo Montiel,75,82
Lucas Martínez Quarta,74,83
Javier Pinola,78,78
Camilo Mayada,74,74
Ignacio Fernández,76,76
Leonardo Ponzio,77,77
Enzo Pérez,78,78
Juan Fernando Quintero,80,83
Rafael Santos Borré,77,83
Lucas Pratto,79,79
Matías Suárez,77,77
Bruno Zuculini,74,77
Milton Casco,76,76
Robert Rojas,72,81
Germán Lux,72,72
Ignacio Scocco,78,78
Nicolás De la Cruz,71,78
Enrique Bologna,68,68
Exequiel Palacios,76,86
Fabrizio AngileriL,72,76
Cristian Ferreira,67,85
Jorge Carrascal,69,82
Santiago Sosa,64,80
Nahuel Gallardo,60,72
Luciano Lollo,70,70
Julián Álvarez,63,83
Kevin Sibille,59,76
