NAME,OVR,POT
Filip Kurto,63,67
Henk Dijkhuizen,66,76
Bart Biemans,68,71
Guy Ramos,67,67
Ard van Peppen,66,66
Timo Letschert,65,72
Mark-Jan Fledderus,68,68
Guus Hupperts,70,77
Marc Höcher,66,66
Davy De Beule,63,63
Berry Powel,65,65
Mateusz Prus,61,64
Kees Luijckx,65,66
Anouar Kali,70,75
Wiljan Pluim,67,72
Mitchell Paulissen,64,69
Krisztián Németh,68,72
Frank Demouge,66,66
Roly Bonevacia,64,71
Mitchell Donald,67,71
Anco Jansen,65,70
Martijn Monteyne,64,64
Arnaud Sutchuin-Djoum,63,69
Vasil Shkurtaj,62,70
Bryan Roox,60,68
Kai Bösing,60,68
Jesse Wijnen,59,70
Daryl Werker,59,69
Rigino Cicilia,59,68
Brian Jacobs,56,65
