NAME,OVR,POT
Lionel Mpasi,66,68
Marvin SenayaL,63,74
Loris MouyokoloL,63,73
Serge-Philippe Raux-Yao,63,74
Joris Chougrani,65,65
Abdel Hakim Abdallah,64,69
Bradley Danger,66,72
Rémy Boissier,69,69
Lorenzo Rajot,65,69
Clément Depres,65,65
Killian Corredor,65,74
Martin AdelineL,66,78
Éric Vandenabeele,66,66
Aymen Abdennour,65,65
Lucas Buades,64,67
Sébastien Cibois,63,69
Joseph Mendes,63,63
Antoine Valério,63,72
Amiran Sanaia,61,61
Sambou SoumanoL,67,76
Louis TorresL,60,69
Nikoloz Kutateladze,60,68
Kévin Boma,62,72
Andy PembéléL,63,75
Wilitty Younoussa,63,74
Park Jung Bin,62,62
Thomas Secchi,58,62
Noa Savignac,59,73
