NAME,OVR,POT
Lionel Mpasi,66,70
Valentin Henry,69,70
Pierre Bardy,67,68
Julien Célestine,59,66
Joris Chougrani,66,66
Nassim Ouammou,64,64
Jordan Leborgne,65,70
David Douline,69,71
Rémy Boissier,68,69
Ugo Bonnet,70,71
Florian David,66,66
Pierre Ruffaut,64,64
Johann Obiang,68,69
Nathanaël Dieng,65,74
Yohan Roche,65,74
Théo Guivarch,63,68
Ayoub Ouhafsa,61,68
Alexis Alégué,58,61
Malaly Dembélé,63,71
Pape Sané,61,61
Loïc Poujol,63,63
Julien PonceauL,63,74
Alexis Peyrelade,60,67
Amiran Sanaia,62,62
Alan Kerouedan,61,72
Boris Mathis,58,65
Grégory Coelho,59,67
Thomas Secchi,58,64
Aurélien Tertereau,65,65
