NAME,OVR,POT
Daniel Örlund,73,74
Mikael Lustig,72,77
Mattias Bjärsmyr,71,76
Vadim Demidov,73,78
Mikael Dorsin,73,75
Anthony Annan,78,85
Per Ciljan Skjelbred,75,78
Markus Henriksen,73,77
Steffen Iversen,74,77
Trond Olsen,69,74
Rade Prica,74,78
Erik Mellevold Bråthen,58,68
Bakary Sare,69,76
Morten Moldskred,69,75
Fredrik Winsnes,68,73
Mushaga Bakenga,64,76
Roar Strand,65,76
Alejandro Lago,66,74
Simen Søraunet Wangberg,67,77
Gjermund Åsen,62,71
Osei Kwaku Oviasu,57,69
Jonas Svensson,57,72
Michael Kleppe Jamtfall,58,69
Fredrik Midtsjø,55,68
Pål André Helland,58,79
Christoffer Aasbak,56,68
Even Barli,56,65
Ulrik Balstad,56,65
Ivar Skjerve,56,64
Sandor Mathias Suphellen,54,65
