NAME,OVR,POT
Reguero,61,61
Marcus Fraser,56,62
Scott Boyd,59,59
Paul Quinn,64,64
Jamie Reckord,57,63
Michael Gardyne,61,61
Jackson Irvine,60,65
Martin Woods,64,64
Raffaele De Vita,61,61
Craig Curran,59,63
Liam Boyce,64,68
Richard Brittain,65,65
Rubén Palazuelos,63,63
Rocco Quinn,59,59
Tony Dingwall,56,70
Mark Brown,61,61
Darvydas Šernas,65,65
Kyle MacLeod,54,63
Abdoulaye Meité,65,65
Graham Carey,62,66
Terry Dunfield,63,63
Joe Cardle,63,63
Darren Barr,63,63
Stephen Miller,49,57
Steven Saunders,61,67
Jake Jervis,61,66
Cameron Burgess,60,71
Steven Ross,56,67
Ben Frempah,54,64
Russell Dingwall,51,65
