NAME,OVR,POT
Erwin Mulder,70,70
Sherel Floranus,68,76
Jan Paul van HeckeL,69,81
Ibrahim Drešević,68,75
Rami Kaib,64,68
Lasse Schøne,75,75
Joey Veerman,77,84
Mitchell van Bergen,73,79
Tibor Halilović,68,71
Siem de Jong,69,69
Henk Veerman,72,72
Benjamin NygrenL,66,79
Rodney Kongolo,69,75
Paweł Bochniewicz,69,74
Lucas Woudenberg,67,68
Ariel Harush,66,66
Arjen van der Heide,63,80
Oliver Batista MeierL,65,80
Sieben DewaeleL,67,75
Ulysses Llanez Jr.L,64,81
Hamdi Akujobi,64,72
Rein Smit,62,72
Rami Hajal,63,79
Couhaib Driouech,60,78
Syb van Ottele,60,72
Timo Zaal,60,78
Jan Bekkema,59,65
Stanislav Shopov,59,74
Jan Ras,57,68
Stefan Westra,57,70
