NAME,OVR,POT
Lukas Kruse,65,66
Christian Strohdiek,64,67
Florian Mohr,68,70
Markus Palionis,61,65
Thomas Bertels,63,63
Enis Alushi,66,69
Markus Krösche,65,65
Alban Meha,66,69
Daniel Brückner,66,66
Sören Brandy,64,65
Nick Proschwitz,68,71
Nico Burchert,54,60
Jens Wemmer,65,69
Jens Wissing,62,68
Mehmet Kara,64,68
Rolf-Christel Guié-Mien,64,64
Lukas RuppL,67,74
Matthew Taylor,65,65
Sergej Schmik,55,63
Niclas Erlbeck,52,63
Diego Demme,59,66
Sven Krause,61,65
Yasin Kocatepe,53,64
Jens GrahlL,64,73
Sören Gonther,68,71
