NAME,OVR,POT
Martin Kobras,67,67
Andreas Lienhart,67,67
Benedikt Zech,68,68
Philipp Netzer,67,67
Emanuel Schreiner,64,64
Patrick Salomon,65,65
Samuel Oum Gouet,59,69
Christian Gebauer,64,67
Kristijan Dobras,64,67
Stefan Nutz,66,69
Adrian Grbic,61,68
Louis Clément Ngwat Mahop,66,66
Simon Piesinger,64,65
Jan Zwischenbrugger,65,65
Bernhard Janeczek,63,64
Benjamin Ozegovic,55,66
Johannes Aigner,63,63
Mathias HonsakL,65,73
Andreas Lukse,68,68
Valentino Müller,61,75
Daniel Nussbaumer,55,67
Johannes Tartarotti,54,67
Boris Prokopič,65,65
Marco Meilinger,66,67
Michael Cheukoua,55,65
Yusuf Otubanjo,61,65
Volkan Akyildiz,58,65
