NAME,OVR,POT
Ralf FährmannL,78,78
Taijo Teniste,66,66
Bismar Acosta,71,71
Christian Eggen Rismark,65,66
Ruben Kristiansen,67,67
Daniel Pedersen,65,65
Fredrik Haugen,68,69
Kristoffer Barmen,67,70
Gilbert Koomson,68,71
Daouda Karamoko Bamba,67,72
Robert Taylor,65,68
Petter Strand,66,69
Amer Ordagić,61,62
Thomas Grøgaard,66,69
Jon-Helge Tveita,64,64
Eirik Holmen Johansen,64,68
Gilli Rólantsson,65,65
Marcus Mehnert,57,66
Erlend Hustad,55,63
Ole Martin Kolskogen,58,73
Markus Pettersen,61,72
Håkon Opdal,65,65
