NAME,OVR,POT
Richard Strebinger,68,73
Stephan Auer,65,66
Mario Sonnleitner,67,67
Lucas Galvão,68,71
Boli Bolingoli,70,77
Thanos PetsosL,68,69
Stefan Schwab,68,71
Louis Schaub,74,80
Veton Berisha,68,73
Thomas Murg,67,74
JoelintonL,69,76
Dejan Ljubicic,59,76
Maximilian Hofmann,67,70
Manuel Thurnwald,64,74
Mert Müldür,56,74
Tobias Knoflach,65,71
Philipp Schobesberger,72,78
Giorgi Kvilitaia,70,76
Christoph Haas,55,58
Mario Pavelic,67,70
Tamás Szántó,66,76
Andreas Kuen,62,69
Christopher Dibon,70,73
Ivan Močinić,71,75
