NAME,OVR,POT
Odisseas Vlachodimos,81,83
Gilberto,77,77
Nicolás Otamendi,81,81
Jan Vertonghen,81,81
Grimaldo,82,85
Rafa,82,82
Julian Weigl,79,82
Valentino LazaroL,76,77
Darwin Núñez,79,87
Gonçalo Ramos,74,85
Adel Taarabt,76,76
Soualiho Meïté,75,75
Diogo Gonçalves,75,78
Morato,74,86
Helton Leite,76,76
Roman Tonny,76,79
Gil Dias,73,76
Lucas Veríssimo,79,84
Haris Seferović,77,77
André Almeida,75,75
Nemanja RadonjićL,75,76
Rodrigo Pinho,73,73
Paulo Guilherme Gonçalves Bernardo,68,83
Mile Svilar,68,80
