NAME,OVR,POT
Rémy Vercoutre,77,77
Damien Da Silva,76,77
Alaeddine Yahia,72,72
Jordan Adéoti,73,74
Frédéric GuilbertL,73,82
Jonathan Delaplace,74,74
Julien Féret,75,75
Vincent Bessat,74,74
Yann Karamoh,70,84
Ivan Santini,74,74
Ronny Rodelin,75,75
Hervé Bazile,72,72
Ismaël Diomandé,72,77
Romain Genevois,73,73
Emmanuel Imorou,72,72
Matthieu Dreyer,69,70
Pape Sané,71,76
Jeff Louis,71,76
Mouhamadou Dabo,71,71
Syam Ben Youssef,72,73
Paul Reulet,69,78
Jordan Leborgne,67,79
Chaker Alhadhur,67,70
Jean-Victor Makengo,65,81
Christopher Opéri,60,73
Louis Deschateaux,58,73
Valentin Voisin,58,72
