NAME,OVR,POT
Philipp Pentke,70,70
Benedikt Saller,69,72
Sebastian Nachreiner,68,68
Marcel Correia,71,71
Jonas FöhrenbachL,68,74
Maximilian ThalhammerL,64,74
Andreas Geipl,68,70
Jann George,68,69
Sargis Adamyan,73,75
Marco Grüttner,72,72
Hamadi Al Ghaddioui,66,66
Marc Lais,68,69
Alexander Nandzik,68,71
Asger SørensenL,67,75
Oliver Hein,65,65
André Weis,68,69
Adrian FeinL,67,81
Sebastian Stolze,66,72
Albion Vrenezi,63,67
Ali Odabas,63,69
Markus Palionis,64,64
Julian Derstroff,65,65
Jonas Nietfeld,66,71
André Dej,66,67
Haris Hyseni,58,61
Alexander Weidinger,52,60
