NAME,OVR,POT
Thomas Gebauer,67,67
Bernhard Janeczek,65,71
Thomas Reifeltshammer,65,65
Petar Filipovic,59,61
Thomas Bergmann,62,63
Michael BrandnerL,54,66
Florian Hart,61,63
Prada,57,58
Patrick Möschl,63,70
Mathias Honsak,58,70
Thomas Fröschl,62,62
Daniel Sikorski,62,62
Fabian Schubert,54,64
Denis Streker,62,66
Nico Antonitsch,55,61
Reuf Durakovic,53,62
Jakob Kreuzer,53,62
Luca David Mayr,52,66
Dieter Elsneg,65,67
Clemens Walch,65,65
Gavilán,64,70
Gernot Trauner,64,69
Marcel Ziegl,62,68
Julian Baumgartner,60,66
Michele Polverino,60,60
Albin Ramadani,55,68
Markus Schöller,54,63
