NAME,OVR,POT
Sammy Bossut,69,71
Davy De Fauw,70,70
Karel D'Haene,69,69
Steve Colpaert,69,70
Bruno Godeau,66,70
Junior Malanda,69,83
Jonathan Delaplace,69,70
Jens Naessens,67,72
Thorgan Hazard,72,82
Franck Berrier,74,74
Mbaye Leye,70,70
Sébastien Bruzzese,66,69
Ólafur Skúlason,66,66
Bryan Verboom,66,74
Hernán Hinostroza,64,77
Aleksandar Trajkovski,66,69
Ibrahima Conté,68,73
Ivan Lendrić,65,69
Pietro Perdichizzi,61,67
Jimmy De JongheL,63,68
Niels Vandenbroucke,59,63
Klaas De Rock,54,64
Pepijn Vangansbeke,52,58
