NAME,OVR,POT
Ciro Polito,70,73
Georgios Kyriazis,67,69
Luca Fusco,65,68
Mariano Stendardo,65,70
Gianluca Galasso,65,69
Evans Soligo,61,64
Manolo Pestrin,66,68
Francesco Montervino,71,75
Roberto Merino,70,78
Francesco Cozza,74,77
Francesco Caputo,64,69
Tommaso Berni,65,70
Francesco Millesi,63,65
Alessandro Bastrini,60,70
Danilo Soddimo,66,75
Andrea Tricarico,61,65
Salvatore Russo,58,64
Emanuele Ferraro,56,60
Vicenzo Fusco,57,60
Juriy Cannarsa,67,70
Arturo Di Napoli,68,71
Maurizio Peccarisi,66,71
Davide Carcuro,53,64
Filipe Machado,63,67
Vincenzo Pepe,58,63
Gennaro Fragiello,57,64
