NAME,OVR,POT
Nicolás Navarro,72,72
Paulo Díaz,72,81
Gonzalo Rodríguez,80,80
Fabricio Coloccini,73,73
Gabriel Rojas,66,82
Gabriel Gudiño,67,70
Facundo Quignon,70,77
Juan Mercier,73,73
Nahuel Barrios,64,80
Rubén Botta,76,76
Nicolás Blandi,77,77
Fernando Belluschi,80,80
Franco Moyano,61,72
Matías Caruzzo,75,75
Víctor Salazar,69,73
Sebastián Torrico,75,75
Nicolás Reniero,65,74
Bautista Merlini,68,77
José Devecchi,65,75
Marcos Angeleri,75,75
Marcos Senesi,65,79
Elías Pereyra,61,80
Alexis Castro,69,78
Juan Ignacio Cavallaro,69,77
Jonás Acevedo,61,70
Franco Mussis,75,79
Germán Berterame,62,80
Valentín Viola,68,70
