NAME,OVR,POT
Facundo AltamiranoL,73,77
Agustín Giay,66,81
Federico Gattoni,70,76
Rafael Pérez,72,72
Gastón Hernández,67,73
Malcom Braida,68,70
Jalil Elías,70,71
Agustín Martegani,69,78
Ezequiel Cerutti,71,71
Adam Bareiro,72,74
Nahuel Barrios,71,74
Carlos Sánchez,70,70
Siro Rosane,66,74
Gastón Campi,68,68
Alex Ibacache,66,73
Augusto BatallaL,70,74
Andrés Vombergar,68,68
Gonzalo MaroniL,68,73
Manuel Insaurralde,66,73
Mariano Peralta Bauer,66,71
Diego Calcaterra,64,74
Francisco Flores,64,77
Iván Leguizamón,64,77
Jeremías James,64,76
Nicolás Blandi,63,63
Gonzalo Luján,63,72
Elián Irala,62,76
Tomás Silva,62,74
