NAME,OVR,POT
Yang Dong Won,58,61
Lee YongL,64,64
Kwak Kwang SunL,65,65
Kang Min SooL,64,64
Park Jin PoL,65,70
Hwang Il SuL,64,67
Lee Seung GiL,70,73
Seo Sang MinL,68,68
Han Sang WunL,67,67
Cho Dong GeonL,66,66
Lee Jeong HyeopL,66,75
Lee Chang HoonL,65,66
Kwon Soon HyungL,65,65
Park Seung IlL,61,64
Yeo Sung HyeL,61,65
Park Ji Young,54,57
Lim Sang HyupL,63,68
Kim Chang HoonL,62,65
Song Je HeonL,59,59
Kim Sung HwanL,66,66
Bae Il HwanL,64,69
Park Gi DongL,60,60
Lee Hoo Kwon,61,62
Park Gyung IkL,47,51
Jang Hyun WooL,47,54
Ahn Jae Hoon,61,62
Kim Do YeobL,61,66
Yoon Pyung GukL,49,54
