NAME,OVR,POT
Gabriel Batista de Souza,65,73
Pierre Sagna,69,69
Kennedy Boateng,71,74
Paulo Henrique,68,70
Victor Bobsin,67,78
Adriano Firmino,66,75
Gabriel Silva,70,82
Ricardinho,69,75
Kyosuke Tagawa,70,76
Kento Misao,71,75
Quintillà,69,72
Ygor Nogueira,67,68
Marcos Díaz,75,75
Matheus Barcelos da Silva,66,71
Allano,72,72
Marco Pereira,74,74
NanuL,70,70
Walter González,68,69
Diogo dos Santos Cabral,67,74
Costinha,67,67
Ricardo Silva,65,71
Matheus Nunes,63,75
Paulo Eduardo Ferreira Godinho,63,75
Filip StevanovićL,63,80
Bruno Jordão,62,68
