NAME,OVR,POT
Oswaldo Sánchez,74,74
Iván Estrada,70,70
Rafael Figueroa,68,68
Felipe Baloy,74,74
Osmar Mares,67,69
Marc Crosas,70,73
Juan Pablo Rodríguez,70,70
Carlos Darwin Quintero,74,76
Andrés Rentería,66,73
Herculez Gomez,73,73
Néstor Calderón,68,73
Julio González,58,64
Aarón Galindo,68,68
Edgar Gerardo Lugo,70,74
Kenyi Adachi,61,74
Rodolfo Salinas,68,69
César Ibáñez,66,71
Oribe Peralta,76,76
Mauro Cejas,70,75
Mario Cárdenas,62,72
Cándido Ramírez,69,76
Oswaldo Alanís,64,72
Luis Alberto García,54,67
Carlos Parra,58,68
Alejandro Martínez,51,62
Enrique López,58,66
Benji Joya,63,71
Eduardo Palacios,59,67
Herbert Robinson,55,62
Edgar Martínez,58,65
