NAME,OVR,POT
Andrea Consigli,82,82
Mauricio LemosL,75,80
Francesco Acerbi,81,81
Federico Peluso,73,73
Stefano Sensi,73,79
Claud Adjapong,71,78
Simone Missiroli,75,75
Alfred Duncan,75,80
Rogério,67,80
Matteo Politano,79,84
Domenico Berardi,78,83
Khouma BabacarL,76,80
Antonino Ragusa,74,74
Francesco Cassata,69,80
Edoardo Goldaniga,74,77
Gianluca Pegolo,71,71
Francesco Magnanelli,75,75
Luca Mazzitelli,73,78
Pol Lirola,74,80
Alessandro Matri,74,74
Davide Biondini,69,69
Timo Letschert,72,75
Cristian Dell'Orco,67,73
Leonardo MarsonL,56,72
Nicholas Pierini,62,80
Davide Frattesi,63,80
