NAME,OVR,POT
Sam Slocombe,63,69
Christian Ribeiro,61,66
David Mirfin,60,61
Niall Canavan,60,68
Eddie Nolan,61,65
Mark Duffy,65,67
Michael Collins,61,63
Luke Hornsey,51,66
Connor Jennings,58,65
Karl Hawley,59,59
Mike Grella,61,62
James Severn,50,65
Callum Kennedy,56,61
Callum Howe,58,63
Matt Godden,52,57
Jamie Wootton,50,69
Andrew Barcham,63,64
Damien Mozika,61,64
Anthony Forde,66,72
Paul Reid,62,62
Jimmy Ryan,62,66
Akpo Sodje,61,61
Josh Walker,59,64
Hakeeb Adelakun,47,64
James Alabi,61,74
Robbie Gibbons,52,63
Eirik Holmen Johansen,56,68
Tom Newey,59,59
