NAME,OVR,POT
Jeon Jong Hyeok,57,65
Yeon Je Woon,67,74
Ahn Young Kyu,61,61
Lim Seung Gyeom,55,61
Lee Chang Yong,60,60
Joo Hyeon Woo,64,64
Kwon Soon Hyung,69,69
Im Seon Yeong,68,68
Seo Bo Min,66,66
Yang Dong Hyen,67,67
Tomislav Kiš,65,68
Kim Hyun Sung,64,64
Choi Oh Back,63,63
Park Tae Jun,57,69
Igor Jovanović,64,64
Kim Keun Bae,61,61
Kim Dong Hyun,58,67
Kim Ki Yeol,50,61
Kim So Woong,56,68
Choi Byung Chan,55,62
Lee Jae Won,52,61
Yu In Soo,61,64
Lee Tae Hee,59,59
Park Tae Min,63,63
Ma Sang Hoon,55,57
Yun Yong Ho,62,69
Park Soo Il,54,61
Kim Young Kwang,68,68
