NAME,OVR,POT
Palop,83,90
Abdoulay Konko,74,80
Alexis,78,86
Julien Escudé,81,82
Mouhamadou Dabo,77,88
Jesús Navas,84,92
Luca Cigarini,76,84
Didier Zokora,81,82
Diego Perotti,79,85
Frédéric Kanouté,83,85
Luís Fabiano,84,86
Javi Varas,71,72
Martín Cáceres,78,85
Renato,77,80
Diego Capel,79,87
Negredo,80,86
Fernando Navarro,76,79
Federico Fazio,74,83
Tiberio Guarente,76,82
Jose Carlos,67,74
Romaric,75,82
Alfaro,75,78
Ivica Dragutinović,76,79
Lautaro Acosta,69,85
Dani Jiménez,59,63
Rodri,65,70
Arouna Koné,77,80
Deivid,60,73
Luna,67,80
Sergio Sánchez,70,76
Campaña,60,81
Juan Martín,55,66
Luis Alberto,61,81
Jesús Alfaro,55,70
Samuel Saiz,63,81
