NAME,OVR,POT
Barry Murphy,60,60
Simon Madden,58,58
David Webster,55,59
Maxime Blanchard,59,59
Luke Byrne,56,66
Stephen McPhail,61,61
Patrick Cregg,59,59
Damien Duff,71,71
Michael Drennan,60,72
Brandon Miele,56,72
Gareth McCaffrey,53,68
Gary McCabe,60,64
Ryan Brennan,58,66
Conor Kenna,59,59
David O'Connor,55,63
Craig Hyland,55,60
Kieran Waters,57,63
Gavin Brennan,56,56
Daniel North,60,60
Sean O'Connor,58,58
Dylan Kavanagh,51,63
Cian Kavanagh,50,67
Michael Kelly,49,65
Sean Boyd,49,68
Shane Hanney,46,71
