NAME,OVR,POT
Richard Brush,57,57
Alan Keane,58,58
Gavin Peers,59,59
Gary Boylan,47,52
Regan Donelon,46,57
Tim ClancyL,58,58
David Cawley,56,63
Jason Hughes,54,57
Jennison Myrie-Williams,61,63
Daniel Corcoran,55,59
Morten Nielsen,62,68
Robert LehaneL,55,64
Raffaele Cretaro,58,58
Keith Ward,57,60
Jake Dykes,46,56
Ryan Coulter,52,55
Anthony Elding,59,59
Ruairi Keating,49,61
Sander Puri,59,59
Jeff Henderson,58,65
John Russell,57,57
Daniel Ledwith,56,64
Ciarán Kelly,54,54
Patrick Nzuzi,54,58
Kevin Devaney,53,58
