NAME,OVR,POT
Kelvin Davis,70,70
Nathaniel Clyne,76,80
José Fonte,78,78
Toby Alderweireld,78,82
Ryan Bertrand,75,79
Victor Wanyama,76,80
Morgan Schneiderlin,81,85
Shane Long,76,76
Sadio Mané,74,80
Dušan Tadić,80,82
Graziano Pellè,77,77
Steven Davis,76,76
Filip Đuričić,74,80
Maya Yoshida,72,74
Matt Targett,61,77
Paulo Gazzaniga,64,71
Eljero Elia,75,75
James Ward-Prowse,74,85
Harrison Reed,64,79
Florin Gardoş,74,77
Fraser Forster,75,75
Jay Rodriguez,75,79
Emmanuel Mayuka,70,72
Sam Gallagher,63,75
Cody Cropper,61,67
Ryan Seager,61,76
Jake Hesketh,60,77
Sam McQueen,59,73
Omar Rowe,59,68
Josh Sims,59,78
Jake Flannigan,58,70
Jake Sinclair,58,70
Dominic Gape,58,70
