NAME,OVR,POT
Daniel Bentley,61,77
John White,61,62
Jakub Sokolik,56,67
John Egan,58,68
Ben Coker,58,63
Ryan Leonard,61,69
Kevan Hurst,62,62
Will Atkinson,57,63
Michael Timlin,58,60
Jacob Murphy,56,80
Barry Corr,61,61
Ted Smith,49,62
Marc Laird,60,60
Luke Prosser,60,60
Freddy Eastwood,60,60
Anthony Straker,60,62
Bedsenté Gomis,58,60
Lee Barnard,64,64
Julian Bennett,62,62
Conor Clifford,59,63
Paul Smith,59,59
Adam Thompson,58,66
Jack Payne,54,64
Jason Williams,51,61
Mitch Pinnock,51,63
Ryan Auger,50,61
Josh Banton,49,59
Luke Chambers,48,56
