NAME,OVR,POT
Wolfgang Hesl,72,73
Bernd Nehrig,69,72
Lasse Sobiech,69,76
Mergim Mavraj,69,71
Abdul Rahman Baba,66,74
Stephan Fürstner,71,74
Milorad Peković,67,67
Felix Klaus,68,74
Zoltán Stieber,71,78
Edgar Prib,73,77
Nikola Djurdjic,74,76
Max Grün,71,74
Thomas Kleine,68,68
Matthias ZimmermannL,66,76
Sercan Sararer,71,77
Thanos Petsos,68,74
Johannes Geis,62,68
Ilir Azemi,64,72
József Varga,71,75
Florian Trinks,68,74
Gerald Asamoah,66,66
Christopher Nöthe,68,72
Heinrich Schmidtgal,69,72
Tom Mickel,67,76
Sebastian Tyrała,64,72
Michael Hefele,59,65
Baye Djiby Fall,68,68
Jung Bin Park,62,72
Issa Ndoye,67,68
Robert Zillner,65,68
Thomas Pledl,63,77
Franck Ohandza,59,69
Stefan Lex,57,68
