NAME,OVR,POT
Otto Fredrikson,72,75
Andrey Vasyanovich,66,77
Miodrag Džudović,72,76
Viktor Vasin,66,69
Roman Amirkhanov,63,72
Leandro,72,77
Roman Kontsedalov,70,76
Kazbek Geteriev,68,76
Gogita Gogua,73,77
Vladimir Dyadyun,70,78
David Siradze,69,75
Aleksandrs Kolinko,65,73
Alexandr Schanitsyn,57,69
Nikita Malyarov,68,78
Milan Jovanović,66,69
Bojan Marković,67,71
Jovan Golić,69,77
Ricardo Jésus,72,78
Stefan Dejak,61,72
Arsen Goshokov,59,68
Alexandr Trubitsyn,45,51
Oleg Shalaev,53,65
Artur Rylov,62,72
Valentin Filatov,67,72
Anton Antipov,58,65
Zaurbek Pliev,49,58
Alexandr Khokhlov,59,71
Kantemir Khagabanov,48,60
Mikhail Bilaonov,58,65
Alim Mikheev,52,65
