NAME,OVR,POT
Ángel Zamudio,65,72
Giancarlo Carmona,65,65
Víctor Balta,65,65
Jimmy Valoyes,61,61
Jeickson Reyes,66,66
Leonardo Villar,65,79
Óscar Barreto,68,68
Marcos Lliuya,68,68
Ronal Huaccha,63,64
Liliu,66,66
Hugo Ángeles,61,62
Luis Benítes,63,66
Moisés Velásquez,62,72
Marcio Valverde,67,67
Francisco Duclós,58,64
Joel Pinto,63,63
Joazhiño Arroé,66,66
Jarlín Quintero,63,63
Charles Monsalvo,66,66
Alexis Sleiter Rojas,63,66
Carlos Torres,59,66
Marco Huamán,59,73
Daniel Morales,65,65
Alfredo Rojas,65,65
Javier Trauco,62,62
Luis Campos,65,75
Jimmy Pérez,58,68
