NAME,OVR,POT
Conor O'Malley,48,62
Gerard O'Brien,58,58
Sean Hoare,55,64
Kenneth Browne,58,58
Ian Bermingham,58,62
Gregory Bolger,58,62
James Chambers,57,57
Conan Byrne,58,58
Jamie McGrath,49,60
Morgan Langley,57,60
Aaron Greene,57,61
Sam Verdon,50,57
Darragh Markey,48,68
Jason McGuinness,58,58
Lee Desmond,45,53
Brendan Clarke,60,60
Jack Bayly,47,58
Paul Rooney,47,52
Christopher Fagan,62,68
Killian Brennan,61,61
Ian Morris,60,60
Christopher Forrester,60,70
Shane McEleney,53,58
Patrick Jennings,52,52
Rory Feely,43,60
