NAME,OVR,POT
Jan Kjell Larsen,53,58
Vegar Eggen Hedenstad,68,78
Jørgen Paulov Hammer,63,75
Tor Marius Gromstad,56,68
Bjarni Ólafur Eiríksson,64,67
Fredrik Brustad,52,67
Adnan Haidar,57,66
Christer Kleiven,63,74
Erik Benjaminsen,58,68
Stian Sortevik,58,67
Mads Stokkelien,63,67
Pål Henning Albertsen,47,47
Boli Franc,61,69
Christoffer Gade-Lundlie,48,55
Haaken Munthe-Kaas,51,59
Haris Skenderović,59,66
Andreas Leirvik,53,62
Torstein Andersen Aase,59,68
Emilio Sølna,51,58
Daniel Hæhre,54,58
Jiress Suka Suka,51,58
Andreas Baastad,56,63
Johannes Johannesen,51,57
Markus Jenssen,56,63
Thor Lange,50,58
Kristoffer Thomassen,49,56
Johannes Bødtker,52,58
Ståle Steen Sæthre,53,59
