NAME,OVR,POT
Gautier Larsonneur,68,81
Alexandre CoeffL,71,75
Jean-Charles Castelletto,68,74
Anthony Weber,71,71
Quentin Bernard,70,70
Jessy PiL,70,75
Johan Gastien,68,68
Jason Berthomier,72,72
Julien Faussurier,70,70
Gaëtan Charbonnier,68,68
Habib DialloL,69,77
Mathias Autret,67,67
Bruno Grougi,68,68
Ibrahima Sissoko,64,81
Gaëtan Belaud,70,70
Julien Fabri,65,73
Edouard Butin,66,66
Kévin Mayi,66,70
Brendan Chardonnet,66,77
Pierre Magnon,55,67
David Kiki,67,73
Zakarie Labidi,62,64
Donovan Léon,64,66
Valentin Henry,59,65
Thomas Lijour,54,72
Exaucé Ngassaki Ndongo,56,65
Lenny Pintor,54,78
