NAME,OVR,POT
Alexis Sauvage,66,66
Anthony Gonçalves,67,67
Marvin Baudry,67,67
Yohan Tavares,67,67
Bryan Goncalves,66,71
Edson Seidou,63,63
Jimmy Roye,67,67
Sam SannaL,65,74
Antonin Bobichon,69,70
Simon ElisorL,62,68
Geoffray Durbant,67,67
Kevin Tapoko,63,64
Ryan Ferhaoui,62,67
Yasser Baldé,64,64
Rémy Duterte,62,62
Maxime Hautbois,62,62
Zakaria Naidji,66,66
Julien MaggiottiL,68,69
Kader N'Chobi,64,65
Pierrick Cros,64,64
Jordan Adéoti,66,66
François-Xavier Fumu Tamuzo,62,62
Kévin Perrot,63,63
Pape Djibril Diaw,64,66
Dembo Sylla,62,77
Sébastien da Silva,62,62
John Da,55,62
Steven Nsimba,60,63
Junior Mendes,56,70
Théo Chatelain,55,63
