NAME,OVR,POT
Owain Fôn Williams,59,80
John Mullins,57,63
Michael Raynes,59,62
Gareth Owen,64,69
Michael Rose,57,63
Stephen Gleeson,59,66
Gary Dicker,61,63
Jason Taylor,57,69
Tommy Rowe,58,71
Peter Thompson,63,71
Anthony Pilkington,59,68
Matty McNeil,53,55
Dominic Blizzard,60,71
Jim Mcnulty,49,64
Lloyd Rigby,39,55
Carl Baker,60,64
James Tunnicliffe,38,60
Greg Tansey,47,58
Paul Turnbull,43,67
Gianluca Havern,38,55
Leon McSweeney,57,65
Matty Mainwaring,35,55
Ben Imeson,44,54
Danny Pilkington,42,46
James Vincent,35,51
Darren Green,38,59
Declan Edwards,39,54
Paul Ennis,38,49
